,sentiment_score,tweet_volume,Close,Volume,Volatility
2021-11-12,0.26753341836734695,1960,64155.94140625,36084893887,0.031886072396474334
2021-11-18,0.20241382463690158,1859,56942.13671875,41388338699,0.02892137454720402
2021-11-19,0.23395238441936658,2747,58119.578125,38702407772,0.03251510451762436
2021-11-24,0.2474475073313783,341,56280.42578125,36635566789,0.033576385109364025
2021-11-25,0.33592070652173917,1840,57274.6796875,34284016248,0.027310239881862153
2021-11-26,0.2462575842696629,2848,53569.765625,41810748221,0.03509025260558705
2021-12-11,0.20213056478405317,301,49362.5078125,25775869261,0.03127741484801701
2021-12-17,0.24745266798418972,1012,46202.14453125,32902725329,0.04218798878540566
2021-12-29,0.13557526315789473,190,46444.7109375,30049226299,0.03173293498910027
2021-12-30,0.2462364885496183,1310,47178.125,26686491018,0.025365589421751846
2022-01-11,0.21229802955665025,609,42735.85546875,26327648900,0.025427188169673032
2022-01-12,0.2561397900763359,2096,43949.1015625,33499938689,0.021515668480150466
2022-01-13,0.2276197983501375,2182,42591.5703125,47691135082,0.024629922649597367
2022-01-14,0.2551015603799186,1474,43099.69921875,23577403399,0.019231065010005856
2022-01-19,0.2049970760233918,171,41744.328125,23091543258,0.015099357526529413
2022-01-20,0.21620426666666667,1125,40680.41796875,20382033940,0.013767717193444367
2022-01-21,0.14716172907488986,1816,36457.31640625,43011992031,0.03733591068413632
2022-01-22,0.16989195592286502,3630,35030.25,39714385405,0.03598745969643556
2022-02-09,0.21329967400163,1227,44338.796875,23245887300,0.041506893615923975
2022-02-14,0.21100546875,256,42586.91796875,20827783012,0.013298929687219409
2022-02-15,0.2434096551724138,435,44575.203125,22721659051,0.023436493105139077
2022-02-16,0.20496871794871793,195,43961.859375,19792547657,0.024061362401506598
2022-02-17,0.2192776008492569,942,40538.01171875,26246662813,0.037849132048871484
2022-02-18,0.23740254924681345,863,40030.9765625,23310007704,0.037166487334099815
2022-03-02,0.24504306930693068,404,43924.1171875,29183112630,0.05798416479590387
2022-03-06,0.2413891687657431,397,38419.984375,19745229902,0.07034526751719428
2022-03-07,0.22583050847457628,1180,38062.0390625,28546143503,0.03332776318769818
2022-03-08,0.16257900355871885,281,38737.26953125,25776583476,0.0314261209092255
2022-03-09,0.24039805194805197,770,41982.92578125,32284121034,0.05017176442201662
