,sentiment_score,tweet_volume,Close,Volume,Volatility
2021-02-05,0.125486033519553,358,38144.30859375,58598066402,0.035073103598725376
2021-02-06,0.1359484276729559,636,39266.01171875,71326033653,0.034495202831735905
2021-02-07,0.1420586846543002,593,38903.44140625,65500641143,0.02891718533990232
2021-02-08,0.148178365831012,1077,46196.46484375,101467222687,0.06755206398677935
2021-02-09,0.163599885583524,874,46481.10546875,91809846886,0.06913598628941604
2021-02-10,0.1555579710144927,690,44918.18359375,87301089896,0.0740812141133485
2021-02-13,0.154434,450,47105.515625,70250456155,0.07662651402811396
2021-02-14,0.2716167532467533,770,48717.2890625,71248675228,0.07478451625470359
2021-02-15,0.3227425806451613,930,47945.05859375,77069903166,0.0339875729587784
2021-02-18,0.1561095555555555,450,51679.796875,52054723579,0.02898166546910319
2021-02-19,0.1348116796440489,899,55888.1328125,63495496918,0.037475133289697544
2021-02-22,0.1424787465940054,734,54207.3203125,92052420332,0.045826764390662834
2021-02-28,0.1251526627218935,338,45137.76953125,53443887451,0.039329275884012325
2021-03-11,0.1652433962264151,53,57805.12109375,56772343595,0.018708615438873075
2021-03-12,0.1022102331606217,772,57332.08984375,55689944702,0.021878794933677472
2021-04-05,0.1703093181818182,440,59057.87890625,60706272115,0.016786733677474668
2021-04-06,0.1740716927453769,703,58192.359375,66058027988,0.016099013229851085
2021-04-07,0.1349169950738916,812,56048.9375,75645303584,0.020799383379119463
2021-04-08,0.1698783633841886,721,58323.953125,53053855641,0.0275458097628855
2021-04-09,0.1427189890710382,732,58245.00390625,46655208546,0.027403548349315465
2021-04-10,0.1473250297973778,839,59793.234375,58238470525,0.026244468808191177
2021-04-11,0.2021668292682926,410,60204.96484375,46280252580,0.02550131005099725
2021-04-12,0.143366219839142,373,59893.453125,51828688519,0.025706176075079502
2021-04-17,0.2261378787878788,66,60683.8203125,66138759198,0.027925870185334465
2021-04-18,0.1068019487179487,975,56216.18359375,97468872758,0.0398306243520059
2021-04-19,0.1254275327771156,839,55724.265625,65344865159,0.03979538642743328
2021-04-20,0.1392057080131723,911,56473.03125,67849323955,0.02840094619457137
2021-04-21,0.1041160090191657,887,53906.08984375,54926612466,0.02991789637620894
